,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
79479,79479,35258380102,3525838,1,2,1,2,0,9,10,1.0,1,85,35.41,11951,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,2,2
79480,79480,35258380103,3525838,1,3,0,2,0,21,0,1.0,1,10,1.41,11747,0,2,1,19,11,,1,1,1,1,2,2,1,2,1.0,2.0,2,2
79481,79481,35258380104,3525838,1,4,0,2,0,9,10,1.0,1,10,1.41,11747,0,2,1,19,11,,1,1,1,1,2,2,1,2,1.0,2.0,2,2
79482,79482,35258380105,3525838,1,5,0,2,1,3,0,1.0,1,105,35.66,11747,0,2,1,19,11,,1,1,1,1,3,3,1,5,6.0,6.0,2,2
79483,79483,35258380202,3525838,2,2,0,2,0,17,0,1.0,1,14,23.88,11722,0,2,1,19,11,,1,1,1,2,5,4,1,2,5.0,6.0,2,2
79484,79484,35258380203,3525838,2,3,0,2,0,10,9,1.0,1,15,24.65,11967,0,2,1,19,11,,1,1,1,1,5,4,1,2,5.0,6.0,2,2
79485,79485,35258380204,3525838,2,4,0,2,0,9,0,1.0,1,18,10.46,11722,0,2,1,19,11,,1,1,1,1,5,4,1,2,4.0,5.0,2,2
79486,79486,35258380205,3525838,2,5,0,2,0,9,0,1.0,1,18,7.15,11746,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,2,2
79487,79487,35258380206,3525838,2,6,0,2,0,17,0,1.0,1,15,0.75,11743,0,2,1,19,11,,1,1,1,1,1,1,1,2,1.0,1.0,2,2
79488,79488,35258380207,3525838,2,7,0,2,0,9,10,1.0,1,2,8.47,11743,0,2,1,19,11,,1,1,1,1,1,1,1,1,4.0,5.0,2,2
79489,79489,35258380208,3525838,2,8,0,2,0,9,10,1.0,1,35,7.76,11747,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,2,2
79490,79490,35258380209,3525838,2,9,0,2,0,9,10,1.0,1,73,20.43,11714,0,2,1,19,11,,1,1,1,1,2,2,1,4,5.0,6.0,2,2
79491,79491,35258380210,3525838,2,10,0,2,1,3,0,1.0,1,40,22.01,11722,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,2
79553,79553,35261350102,3526135,1,2,1,1,0,14,3,1.0,1,40,19.98,11729,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,3
79554,79554,35261350103,3526135,1,3,0,1,1,3,0,1.0,1,40,19.94,11779,0,2,1,19,11,,1,1,1,1,4,4,1,3,5.0,6.0,4,3
79555,79555,35261510102,3526151,1,2,1,3,0,9,0,1.0,1,15,2.81,11746,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,2,2
79556,79556,35261510103,3526151,1,3,0,3,1,3,0,1.0,1,15,2.81,11746,0,2,1,19,11,,1,1,1,1,3,3,1,2,2.0,3.0,2,2
79602,79602,35263890102,3526389,1,2,1,1,0,9,0,1.0,1,13,3.47,11772,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,9,3
79603,79603,35263890103,3526389,1,3,0,1,0,9,0,1.0,1,46,14.37,11772,0,2,1,19,11,,1,1,1,1,1,1,1,4,5.0,6.0,9,3
79604,79604,35263890104,3526389,1,4,0,1,0,9,0,1.0,1,30,14.61,11782,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,9,3
79605,79605,35263890105,3526389,1,5,0,1,1,3,0,1.0,1,18,3.47,11772,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,9,3
79618,79618,35264940102,3526494,1,2,1,2,0,9,10,1.0,1,26,20.65,11725,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,2
79619,79619,35264940103,3526494,1,3,0,2,1,3,0,1.0,1,29,20.74,11772,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,4,2
79620,79620,35264940202,3526494,2,2,1,2,0,9,10,1.0,1,26,0.0,11725,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,2
79621,79621,35264940203,3526494,2,3,0,2,1,3,0,1.0,1,25,0.0,11747,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
79676,79676,35268080202,3526808,2,2,1,2,0,9,0,1.0,1,55,31.04,11766,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,9,3
79677,79677,35268080203,3526808,2,3,0,2,1,3,0,1.0,1,70,31.91,11747,0,2,1,19,11,,1,1,1,1,3,3,1,4,6.0,6.0,9,3
79739,79739,35269610102,3526961,1,2,1,3,0,9,0,1.0,1,40,11.26,11731,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,2,2
79740,79740,35269610103,3526961,1,3,0,3,1,3,2,1.0,1,35,11.34,11747,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,2,2
