,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
179,179,30007510104,3000751,1,4,1,3,0,9,0,1.0,1,60,45.19,11706,1,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,2,3
181,181,30007510202,3000751,2,2,1,3,0,9,10,1.0,1,20,16.39,11706,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,2,3
182,182,30007510203,3000751,2,3,0,3,1,3,0,1.0,1,20,18.59,11746,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,2,3
523,523,30021830102,3002183,1,2,1,2,0,9,0,2.1,2,70,42.97,11727,0,2,1,19,11,,1,1,1,1,1,1,2,4,6.0,6.0,4,2
524,524,30021830103,3002183,1,3,0,2,0,97,0,1.0,1,52,9.85,11040,1,2,1,19,11,,1,1,1,1,3,3,1,4,4.0,5.0,4,2
526,526,30021830202,3002183,2,2,1,2,0,9,0,6.2,2,173,59.8,11727,1,2,1,12,7,,2,2,2,1,1,1,2,5,6.0,6.0,4,2
627,627,30027890202,3002789,2,2,1,2,0,9,0,7.0,1,135,0.0,11758,1,2,1,6,3,4.0,2,2,2,1,1,1,1,5,6.0,6.0,4,2
657,657,30030040102,3003004,1,2,1,4,0,9,0,2.2,2,17,2.85,11795,0,2,1,17,10,,1,1,1,1,5,4,2,2,2.0,3.0,4,2
658,658,30030040104,3003004,1,4,0,4,0,21,0,7.0,1,56,29.36,11702,1,2,1,6,3,,2,2,2,1,2,2,1,4,6.0,6.0,4,2
662,662,30030040204,3003004,2,4,1,4,0,9,0,1.0,1,5,0.96,11795,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,2.0,4,2
663,663,30030040205,3003004,2,5,0,4,1,3,0,1.0,1,5,0.95,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
664,664,30030040206,3003004,2,6,1,4,0,9,0,1.0,1,5,0.96,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
665,665,30030040207,3003004,2,7,0,4,1,3,0,1.0,1,6,0.95,11795,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,2
675,675,30030040307,3003004,3,7,1,4,0,9,0,1.0,1,12,1.44,11795,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,4,2
676,676,30030040308,3003004,3,8,0,4,0,10,25,9.0,1,17,4.38,11795,0,2,1,1,1,,3,2,2,1,3,3,1,2,3.0,4.0,4,2
677,677,30030040309,3003004,3,9,0,4,1,3,0,9.0,1,23,3.84,11704,0,2,1,1,1,,3,2,2,1,3,3,1,3,4.0,5.0,4,2
681,681,30030340102,3003034,1,2,1,1,0,9,0,7.1,1,75,26.83,11510,1,2,1,6,3,2.0,2,2,2,1,1,1,1,4,6.0,6.0,3,1
834,834,30034210102,3003421,1,2,1,3,0,9,0,1.0,1,20,12.01,11803,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,3
835,835,30034210103,3003421,1,3,0,3,1,3,0,1.0,1,20,11.96,11725,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,3
838,838,30034210205,3003421,2,5,1,3,0,9,0,1.0,1,22,6.21,11803,0,2,1,19,11,,1,1,1,1,2,2,1,3,3.0,4.0,4,3
839,839,30034210206,3003421,2,6,0,3,1,3,0,1.0,1,34,6.21,11746,0,2,1,19,11,,1,1,1,1,4,4,1,3,3.0,4.0,4,3
982,982,30039400102,3003940,1,2,1,2,0,9,0,1.0,1,35,13.76,11710,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,2,2
983,983,30039400103,3003940,1,3,0,2,1,3,0,1.0,1,32,13.88,11040,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,2
1163,1163,30048290202,3004829,2,2,1,2,0,9,0,1.0,1,30,0.0,11566,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,3
1164,1164,30048290203,3004829,2,3,0,2,1,3,0,1.0,1,30,0.0,11735,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,3
1174,1174,30048340111,3004834,1,11,1,2,0,14,0,1.0,1,30,13.5,11769,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
1175,1175,30048340112,3004834,1,12,0,2,1,3,0,1.0,1,36,14.76,11719,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
1176,1176,30048340202,3004834,2,2,1,2,0,9,0,2.2,2,43,30.79,11769,0,2,1,17,10,,1,1,1,1,1,1,2,3,6.0,6.0,4,2
1177,1177,30048340203,3004834,2,3,0,2,1,3,0,2.2,2,50,30.49,11771,0,2,1,17,10,,1,1,1,1,2,2,2,4,6.0,6.0,4,2
1222,1222,30049180302,3004918,3,2,1,3,0,9,0,1.0,1,50,38.22,11949,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,3
1223,1223,30049180303,3004918,3,3,0,3,0,23,0,1.0,1,30,16.89,11804,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,4,3
1224,1224,30049180304,3004918,3,4,0,3,1,3,0,1.0,1,45,22.06,11788,0,2,1,19,11,,1,1,1,2,3,3,1,4,6.0,6.0,4,3
1231,1231,30049700202,3004970,2,2,1,3,0,9,10,1.0,1,18,7.18,11746,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,4,2
1232,1232,30049700203,3004970,2,3,0,3,1,3,0,1.0,1,16,7.18,11725,0,2,1,19,11,,1,1,1,1,3,3,1,2,4.0,5.0,4,2
1405,1405,30055930204,3005593,2,4,1,4,0,5,0,2.1,2,4,4.29,11716,0,2,1,19,11,,1,1,1,2,1,1,2,1,1.0,1.0,3,2
1406,1406,30055930205,3005593,2,5,0,4,0,9,0,1.0,1,30,21.28,11716,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,3,2
1407,1407,30055930206,3005593,2,6,0,4,1,3,0,1.0,1,41,20.14,11747,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,3,2
1432,1432,30057730102,3005773,1,2,1,3,0,9,0,7.1,1,79,27.3,11580,1,2,1,6,3,2.0,2,2,2,1,1,1,1,4,5.0,6.0,4,2
1434,1434,30057730302,3005773,3,2,1,3,0,9,0,3.0,1,45,4.92,11580,0,2,1,15,9,,3,2,2,1,2,2,1,4,3.0,4.0,4,2
1435,1435,30057730305,3005773,3,5,0,3,1,3,0,2.2,2,25,4.86,11570,0,2,1,17,10,,1,1,1,1,4,4,2,3,3.0,4.0,4,2
1511,1511,30062150102,3006215,1,2,1,3,0,5,0,2.1,2,17,3.88,11801,0,2,1,19,11,,1,1,1,2,1,1,2,2,2.0,3.0,4,2
1512,1512,30062150103,3006215,1,3,0,3,0,9,10,1.0,1,25,9.41,11590,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,2
1513,1513,30062150104,3006215,1,4,0,3,1,3,0,1.0,1,37,13.74,11576,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,2
1516,1516,30062150202,3006215,2,2,1,3,0,9,10,1.0,1,45,31.28,11801,1,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,2
2040,2040,30085550102,3008555,1,2,1,1,0,14,0,10.0,2,10,1.2,11561,0,2,1,5,2,,4,1,1,1,1,1,2,2,2.0,3.0,3,1
2041,2041,30085550103,3008555,1,3,0,1,0,14,0,7.0,1,59,25.94,11561,1,2,1,6,3,,2,2,2,1,1,1,1,4,6.0,6.0,3,1
2045,2045,30085550107,3008555,1,7,0,1,0,14,0,7.0,1,82,48.52,11779,1,2,1,6,3,,2,2,2,1,2,2,1,4,6.0,6.0,3,1
2049,2049,30085550111,3008555,1,11,0,1,1,3,0,3.0,1,23,1.2,11561,0,2,1,15,9,,3,2,2,1,3,3,1,3,2.0,3.0,3,1
2356,2356,30100570102,3010057,1,2,1,4,0,9,10,1.0,1,35,15.86,11740,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,2
2357,2357,30100570103,3010057,1,3,0,4,1,3,0,1.0,1,45,15.38,11568,0,2,1,19,11,,1,1,1,1,3,3,1,4,5.0,6.0,4,2
2358,2358,30100570202,3010057,2,2,1,4,0,19,0,1.0,1,13,4.44,11740,0,2,1,19,11,,1,1,1,2,1,1,1,2,3.0,4.0,4,2
2359,2359,30100570203,3010057,2,3,0,4,0,16,0,1.0,1,9,0.66,11743,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,1.0,4,2
2360,2360,30100570204,3010057,2,4,0,4,0,9,10,1.0,1,3,0.66,11743,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,1.0,4,2
2361,2361,30100570205,3010057,2,5,0,4,1,3,0,1.0,1,14,4.44,11743,0,2,1,19,11,,1,1,1,1,3,3,1,2,3.0,4.0,4,2
2403,2403,30101490102,3010149,1,2,1,3,0,9,0,1.0,1,45,11.28,11575,1,2,1,19,11,,1,1,1,1,1,1,1,4,4.0,5.0,4,3
2507,2507,30106560102,3010656,1,2,1,1,0,14,0,1.0,1,12,11.6,11791,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,4,1
2508,2508,30106560103,3010656,1,3,0,1,0,18,0,1.0,1,14,6.5,11793,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,4,1
2509,2509,30106560104,3010656,1,4,0,1,0,20,0,1.0,1,57,14.82,11803,0,2,1,19,11,,1,1,1,2,1,1,1,4,5.0,6.0,4,1
2510,2510,30106560105,3010656,1,5,0,1,0,18,0,1.0,1,8,3.38,11725,0,2,1,19,11,,1,1,1,2,1,1,1,1,2.0,3.0,4,1
2511,2511,30106560106,3010656,1,6,0,1,0,18,0,1.0,1,18,0.0,11725,0,2,1,19,11,,1,1,1,2,1,1,1,2,4.0,5.0,4,1
2512,2512,30106560107,3010656,1,7,0,1,1,3,0,1.0,1,16,0.0,11735,0,2,1,19,11,,1,1,1,2,2,2,1,2,4.0,5.0,4,1
2606,2606,30111420202,3011142,2,2,1,2,0,9,10,1.0,1,25,16.29,11703,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,4,2
2607,2607,30111420203,3011142,2,3,0,2,1,3,0,1.0,1,30,16.64,11553,0,2,1,19,11,,1,1,1,1,5,4,1,3,5.0,6.0,4,2
2709,2709,30116090308,3011609,3,8,1,3,0,9,0,1.0,1,34,20.54,11010,1,2,1,19,11,,1,1,1,1,4,4,1,3,5.0,6.0,4,2
2896,2896,30125240202,3012524,2,2,1,2,0,9,0,1.0,1,21,15.38,11779,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,3,2
2897,2897,30125240203,3012524,2,3,0,2,0,19,0,8.1,1,5,0.81,11703,0,2,1,23,13,,5,3,97,1,3,3,1,1,1.0,1.0,3,2
2898,2898,30125240204,3012524,2,4,0,2,0,20,0,1.0,1,65,40.74,11703,1,2,1,19,11,,1,1,1,2,3,3,1,4,6.0,6.0,3,2
3073,3073,30131690102,3013169,1,2,1,1,0,9,0,7.0,1,116,38.23,11746,1,2,1,6,3,4.0,2,2,2,1,1,1,1,5,6.0,6.0,4,1
3187,3187,30137940202,3013794,2,2,1,2,0,9,0,1.0,1,15,5.33,11714,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,1,1
3188,3188,30137940203,3013794,2,3,0,2,1,3,0,1.0,1,15,5.3,11554,0,2,1,19,11,,1,1,1,1,4,4,1,2,3.0,4.0,1,1
3294,3294,30142930102,3014293,1,2,1,3,0,5,0,2.2,2,25,5.64,11776,0,2,1,17,10,,1,1,1,2,1,1,2,3,3.0,4.0,4,3
3295,3295,30142930103,3014293,1,3,0,3,0,9,0,1.0,1,12,7.3,11720,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,4,3
3296,3296,30142930104,3014293,1,4,0,3,0,6,0,1.0,1,15,7.31,11772,0,2,1,19,11,,1,1,1,1,2,2,1,2,4.0,5.0,4,3
3297,3297,30142930105,3014293,1,5,0,3,0,16,0,2.2,2,25,5.31,11720,0,2,1,17,10,,1,1,1,2,2,2,2,3,4.0,5.0,4,3
3298,3298,30142930106,3014293,1,6,0,3,1,3,0,2.2,2,10,3.01,11776,0,2,1,17,10,,1,1,1,2,2,2,2,2,2.0,3.0,4,3
3301,3301,30142930202,3014293,2,2,1,3,0,9,0,2.1,2,25,5.64,11776,0,2,1,19,11,,1,1,1,1,1,1,2,3,3.0,4.0,4,3
3302,3302,30142930203,3014293,2,3,0,3,0,16,0,2.1,2,25,5.31,11720,0,2,1,19,11,,1,1,1,1,2,2,2,3,4.0,5.0,4,3
3303,3303,30142930204,3014293,2,4,0,3,1,1,3,2.1,2,10,3.01,11776,0,2,1,19,11,,1,1,1,2,2,2,2,2,2.0,3.0,4,3
3306,3306,30142930302,3014293,3,2,1,3,0,9,21,1.0,1,85,43.65,11776,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,3
3307,3307,30142930303,3014293,3,3,0,3,1,3,0,1.0,1,90,43.79,11042,0,2,1,19,11,,1,1,1,1,3,3,1,5,6.0,6.0,4,3
3325,3325,30144020102,3014402,1,2,1,4,0,9,0,1.0,1,80,61.35,11786,1,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,2
3330,3330,30144020107,3014402,1,7,0,4,1,3,0,2.1,2,25,10.67,11777,0,2,1,19,11,,1,1,1,2,4,4,2,3,4.0,5.0,4,2
3331,3331,30144020202,3014402,2,2,1,4,0,5,0,2.1,3,5,4.19,11786,0,2,1,19,11,,1,1,1,2,1,1,3,1,2.0,3.0,4,2
3332,3332,30144020203,3014402,2,3,0,4,0,9,0,1.0,1,19,2.82,11786,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,4,2
3333,3333,30144020204,3014402,2,4,0,4,0,6,0,1.0,1,21,16.15,11961,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,2
3334,3334,30144020205,3014402,2,5,0,4,0,5,0,2.1,2,30,13.45,11742,0,2,1,19,11,,1,1,1,2,3,3,2,3,5.0,6.0,4,2
3335,3335,30144020206,3014402,2,6,0,4,1,3,0,1.0,1,24,10.67,11777,0,2,1,19,11,,1,1,1,2,3,3,1,3,4.0,5.0,4,2
3491,3491,30150250102,3015025,1,2,1,2,0,19,0,1.0,1,1,0.44,11710,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,1.0,4,1
3492,3492,30150250103,3015025,1,3,0,2,0,9,10,1.0,1,2,0.44,11554,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,1.0,4,1
3493,3493,30150250104,3015025,1,4,0,2,1,3,0,1.0,1,6,0.44,11554,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,4,1
3494,3494,30150250105,3015025,1,5,1,2,0,14,0,1.0,1,17,6.75,11710,0,2,1,19,11,,1,1,1,1,2,2,1,2,3.0,4.0,4,1
3495,3495,30150250106,3015025,1,6,0,2,1,3,14,1.0,1,15,6.74,11530,0,2,1,19,11,,1,1,1,1,2,2,1,2,3.0,4.0,4,1
3690,3690,30157920102,3015792,1,2,1,1,0,9,0,1.0,1,46,36.98,11934,0,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,2,1
3691,3691,30157920103,3015792,1,3,0,1,1,3,0,1.0,1,49,37.53,11944,0,2,1,19,11,,1,1,1,1,3,3,1,4,6.0,6.0,2,1
3750,3750,30160790102,3016079,1,2,1,1,0,9,0,1.0,1,31,14.92,11746,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,2,1
3751,3751,30160790103,3016079,1,3,0,1,1,3,0,1.0,1,28,15.03,11758,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,1
4105,4105,30179180102,3017918,1,2,1,5,0,9,0,1.0,1,40,19.38,11787,0,2,1,18,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,3
4106,4106,30179180103,3017918,1,3,0,5,1,3,0,1.0,1,30,20.08,11803,0,2,1,18,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,3
4107,4107,30179180202,3017918,2,2,1,5,0,5,0,2.1,3,10,3.03,11787,0,2,1,19,11,,1,1,1,2,1,1,3,2,2.0,3.0,4,3
4108,4108,30179180203,3017918,2,3,0,5,0,6,0,1.0,1,35,9.21,11754,0,2,1,19,11,,1,1,1,2,1,1,1,3,4.0,5.0,4,3
4109,4109,30179180204,3017918,2,4,0,5,0,9,0,2.1,2,30,6.89,11721,0,2,1,19,11,,1,1,1,1,1,1,2,3,4.0,5.0,4,3
4110,4110,30179180205,3017918,2,5,0,5,0,5,0,2.1,2,15,4.69,11747,0,2,1,19,11,,1,1,1,1,2,2,2,2,3.0,4.0,4,3
4111,4111,30179180206,3017918,2,6,0,5,0,16,0,1.0,1,15,0.0,11735,0,2,1,19,11,,1,1,1,2,2,2,1,2,2.0,3.0,4,3
4112,4112,30179180207,3017918,2,7,0,5,0,17,0,1.0,1,5,0.0,11747,0,2,1,19,11,,1,1,1,2,2,2,1,1,2.0,3.0,4,3
4113,4113,30179180208,3017918,2,8,0,5,0,9,0,1.0,1,5,1.41,11747,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,1.0,4,3
4114,4114,30179180209,3017918,2,9,0,5,0,26,0,1.0,1,40,13.86,11747,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,4,3
4115,4115,30179180210,3017918,2,10,0,5,0,6,0,1.0,1,10,3.34,11725,0,2,1,19,11,,1,1,1,2,3,3,1,2,2.0,3.0,4,3
4116,4116,30179180211,3017918,2,11,0,5,1,3,0,2.1,3,5,2.97,11787,0,2,1,19,11,,1,1,1,2,3,3,3,1,2.0,3.0,4,3
4200,4200,30182000202,3018200,2,2,1,2,0,21,0,1.0,1,5,1.77,11566,0,2,1,19,11,,1,1,1,2,1,1,1,1,2.0,3.0,2,2
4201,4201,30182000203,3018200,2,3,0,2,0,9,0,1.0,1,8,1.84,11566,0,2,1,19,11,,1,1,1,1,1,1,1,1,2.0,3.0,2,2
4202,4202,30182000204,3018200,2,4,0,2,0,9,0,1.0,1,30,10.8,11520,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,2,2
4203,4203,30182000205,3018200,2,5,0,2,1,3,0,1.0,1,15,10.47,11501,0,2,1,19,11,,1,1,1,1,4,4,1,2,4.0,5.0,2,2
4373,4373,30193290102,3019329,1,2,1,1,0,9,0,1.0,1,20,6.86,11743,0,2,1,19,11,,1,1,1,1,1,1,1,3,3.0,4.0,2,1
4374,4374,30193290103,3019329,1,3,0,1,1,3,0,1.0,1,15,6.86,11743,0,2,1,19,11,,1,1,1,1,3,3,1,2,3.0,4.0,2,1
4433,4433,30195430102,3019543,1,2,1,4,0,9,0,7.1,1,55,20.81,11580,1,2,1,6,3,2.0,2,2,2,1,1,1,1,4,5.0,6.0,4,2
4437,4437,30195430112,3019543,1,12,0,4,1,3,0,1.0,1,5,1.27,11580,0,2,1,19,11,,1,1,1,2,3,3,1,1,1.0,2.0,4,2
4444,4444,30195430206,3019543,2,6,1,4,0,21,0,1.0,1,5,1.27,11580,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,2.0,4,2
4445,4445,30195430207,3019543,2,7,0,4,0,9,10,1.0,1,5,1.27,11580,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,2.0,4,2
4446,4446,30195430208,3019543,2,8,0,4,0,20,0,1.0,1,5,2.46,11580,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,,4,2
4447,4447,30195430209,3019543,2,9,0,4,0,9,10,1.0,1,5,1.77,11580,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,,4,2
4448,4448,30195430210,3019543,2,10,0,4,0,19,0,1.0,1,10,1.27,11580,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,4,2
4449,4449,30195430211,3019543,2,11,0,4,0,21,0,1.0,1,25,1.01,11580,0,2,1,19,11,,1,1,1,2,2,2,1,3,2.0,3.0,4,2
4450,4450,30195430212,3019543,2,12,0,4,0,9,10,1.0,1,5,0.98,11580,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,1.0,4,2
4451,4451,30195430213,3019543,2,13,0,4,0,20,0,1.0,1,5,2.46,11580,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,,4,2
4452,4452,30195430214,3019543,2,14,0,4,0,6,0,2.1,2,5,0.41,11580,0,2,1,19,11,,1,1,1,2,2,2,2,1,1.0,1.0,4,2
4453,4453,30195430215,3019543,2,15,0,4,1,3,0,2.1,3,12,1.77,11580,0,2,1,19,11,,1,1,1,2,2,2,3,2,1.0,2.0,4,2
4507,4507,30197370102,3019737,1,2,1,1,0,14,0,1.0,1,125,39.02,11757,1,2,1,19,11,,1,1,1,1,1,1,1,5,6.0,6.0,2,2
4512,4512,30197370107,3019737,1,7,1,1,0,14,0,1.0,1,22,14.73,11757,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,2
4513,4513,30197370108,3019737,1,8,0,1,1,3,0,1.0,1,27,15.34,11788,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,2,2
4520,4520,30198180202,3019818,2,2,1,2,0,9,10,1.0,1,45,0.0,11754,0,2,1,19,11,,1,1,1,1,1,1,1,4,5.0,6.0,4,2
4521,4521,30198180203,3019818,2,3,0,2,0,14,0,1.0,1,20,12.05,11742,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,2
4522,4522,30198180204,3019818,2,4,0,2,0,14,0,1.0,1,60,37.21,11733,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,2
4523,4523,30198180205,3019818,2,5,0,2,0,14,0,1.0,1,15,2.62,11530,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,4,2
4524,4524,30198180206,3019818,2,6,0,2,0,14,0,1.0,1,30,6.55,11530,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,2
4525,4525,30198180207,3019818,2,7,0,2,0,9,10,1.0,1,50,28.86,11753,0,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,4,2
4526,4526,30198180208,3019818,2,8,0,2,0,14,0,1.0,1,30,12.05,11742,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,2
4527,4527,30198180209,3019818,2,9,0,2,0,14,0,1.0,1,30,25.64,11733,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
4528,4528,30198180210,3019818,2,10,0,2,1,1,3,1.0,1,30,0.0,11797,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,4,2
4761,4761,30206760402,3020676,4,2,1,4,0,9,10,1.0,1,15,7.81,11731,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,9,3
4762,4762,30206760403,3020676,4,3,0,4,1,3,0,1.0,1,22,7.81,11724,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,9,3
4937,4937,30214140102,3021414,1,2,1,5,0,5,0,2.1,2,5,0.37,11703,0,2,1,19,11,,1,1,1,2,1,1,2,1,1.0,1.0,3,3
4938,4938,30214140103,3021414,1,3,0,5,0,9,0,1.0,1,18,7.91,11703,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,3,3
4939,4939,30214140104,3021414,1,4,0,5,0,20,0,1.0,1,30,7.78,11747,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,3,3
4940,4940,30214140105,3021414,1,5,0,5,1,3,0,2.1,2,5,0.37,11703,0,2,1,19,11,,1,1,1,2,2,2,2,1,1.0,1.0,3,3
4944,4944,30214140202,3021414,2,2,1,5,0,9,0,1.0,1,105,33.56,11703,1,2,1,19,11,,1,1,1,1,5,4,1,5,6.0,6.0,3,3
5011,5011,30216490202,3021649,2,2,1,3,0,14,0,1.0,1,40,12.2,11757,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,2,3
5012,5012,30216490203,3021649,2,3,0,3,0,14,0,1.0,1,60,9.81,11554,0,2,1,19,11,,1,1,1,1,2,2,1,4,4.0,5.0,2,3
5013,5013,30216490204,3021649,2,4,0,3,1,3,0,1.0,1,50,14.06,11791,0,2,1,19,11,,1,1,1,1,2,2,1,4,5.0,6.0,2,3
5071,5071,30218390202,3021839,2,2,1,3,0,9,0,1.0,1,10,7.67,11701,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,1,2
5072,5072,30218390203,3021839,2,3,0,3,1,3,0,1.0,1,15,7.5,11798,0,2,1,19,11,,1,1,1,1,3,3,1,2,3.0,4.0,1,2
5433,5433,30233870202,3023387,2,2,1,2,0,9,0,1.0,1,20,7.03,11768,0,2,1,19,11,,1,1,1,1,2,2,1,3,4.0,5.0,4,2
5434,5434,30233870203,3023387,2,3,0,2,1,3,0,1.0,1,22,7.03,11724,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,2
5500,5500,30237860102,3023786,1,2,1,4,0,9,0,1.0,1,30,7.29,11778,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,2
5501,5501,30237860103,3023786,1,3,0,4,1,3,0,1.0,1,30,7.29,11961,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,2
5574,5574,30240890202,3024089,2,2,1,2,0,9,0,1.0,1,23,10.84,11570,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,9,2
5575,5575,30240890203,3024089,2,3,0,2,0,23,0,1.0,1,28,14.25,11714,0,2,1,19,11,,1,1,1,1,2,2,1,3,5.0,6.0,9,2
5576,5576,30240890204,3024089,2,4,0,2,1,3,0,1.0,1,57,7.35,11040,0,2,1,19,11,,1,1,1,2,2,2,1,4,4.0,5.0,9,2
5586,5586,30241270102,3024127,1,2,1,3,0,9,0,7.0,1,98,21.51,11021,1,2,1,6,3,4.0,2,2,2,1,1,1,1,5,5.0,6.0,4,3
5588,5588,30241270202,3024127,2,2,1,3,0,9,0,1.0,1,41,16.73,11021,1,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,3
5590,5590,30241270302,3024127,3,2,1,3,0,9,0,1.0,1,10,1.72,11021,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,4,3
5591,5591,30241270303,3024127,3,3,0,3,1,3,0,1.0,1,9,1.72,11030,0,2,1,19,11,,1,1,1,1,3,3,1,1,2.0,3.0,4,3
5790,5790,30257760105,3025776,1,5,1,2,0,16,0,1.0,1,9,0.77,11772,0,2,1,19,11,,1,1,1,2,1,1,1,1,2.0,3.0,2,2
5791,5791,30257760106,3025776,1,6,0,2,0,21,0,1.0,1,29,19.74,11772,0,2,1,19,11,,1,1,1,2,1,1,1,3,5.0,6.0,2,2
5792,5792,30257760107,3025776,1,7,0,2,0,9,0,1.0,1,4,0.75,11788,0,2,1,19,11,,1,1,1,1,1,1,1,1,2.0,3.0,2,2
5793,5793,30257760108,3025776,1,8,0,2,1,3,0,1.0,1,26,18.69,11788,0,2,1,19,11,,1,1,1,1,3,3,1,3,5.0,6.0,2,2
5864,5864,30264780102,3026478,1,2,1,2,0,9,0,2.1,2,30,17.44,11751,0,2,1,19,11,,1,1,1,1,1,1,2,3,5.0,6.0,3,3
