,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,TOUR_PURP,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP1,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
133719,133719,40160900103,4016090,1,3,0,4,1,1,9,3,1,0,0,1.0,9.0,1,43,26.96,46.55,11208,11801,11801,0,3,1,1,19,11,,1,1,1,1,1,2,2,1,3,5.0,6.0,3,3
133720,133720,40160900202,4016090,2,2,1,4,0,1,3,9,0,1,10,2.1,9.0,2,15,0.95,2.47,11801,11801,11801,0,3,2,1,19,11,,1,1,1,1,1,1,1,2,2,2.0,3.0,3,3
133721,133721,40160900203,4016090,2,3,0,4,1,1,9,3,1,0,0,1.0,9.0,1,15,0.95,2.48,11801,11801,11801,0,3,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,3,3
133722,133722,40160900204,4016090,2,4,1,4,0,4,3,6,0,4,0,1.0,9.0,1,15,0.95,2.47,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,2,2.0,3.0,3,3
133723,133723,40160900205,4016090,2,5,0,4,1,4,6,3,4,0,0,2.1,9.0,2,20,0.95,2.48,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,3,3,2,3,2.0,3.0,3,3
133724,133724,40160900302,4016090,3,2,1,4,0,3,3,12,0,3,13,9.0,7.0,25,15,0.95,2.47,11801,11801,11801,0,3,2,1,1,1,,3,2,2,2,2,1,1,4,2,2.0,3.0,3,3
133725,133725,40160900303,4016090,3,3,0,4,1,3,12,3,3,0,0,9.0,7.0,25,15,0.95,2.48,11801,11801,11801,0,3,2,1,1,1,,3,2,2,2,2,2,2,4,2,2.0,3.0,3,3
133726,133726,40160900402,4016090,4,2,1,4,0,3,3,12,0,3,13,2.2,9.0,2,15,0.95,2.47,11801,11801,11801,0,3,2,1,17,10,,1,1,1,2,2,1,1,2,2,2.0,3.0,3,3
133727,133727,40160900403,4016090,4,3,0,4,1,3,12,3,3,0,0,9.0,7.0,27,15,0.95,2.48,11801,11801,11801,0,3,2,1,1,1,,3,2,2,2,2,2,2,4,2,2.0,3.0,3,3
133769,133769,40163860102,4016386,1,2,1,2,0,1,3,21,0,7,0,2.2,9.0,2,120,29.73,54.75,11801,10468,11801,1,3,2,1,17,10,,1,1,1,1,2,1,1,2,5,6.0,6.0,4,2
