,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
159,19,1,4,3,0,3,10,1.72
160,19,1,4,3,0,3,9,1.72
161,19,1,2,2,0,2,9,0.77
162,19,1,2,2,0,2,29,19.74
163,19,1,2,2,0,2,4,0.75
164,19,1,2,2,0,2,26,18.69
165,19,2,3,3,0,2,30,17.44
166,19,1,3,3,0,2,45,17.91
167,17,2,3,3,0,2,40,21.51
168,19,1,3,3,0,2,40,22.15
169,19,1,2,1,0,1,40,26.31
170,19,1,2,1,0,1,35,25.85
171,19,1,4,2,0,2,24,9.03
172,19,1,4,2,0,2,30,9.07
173,19,1,4,3,0,4,18,0.0
174,19,1,4,3,0,4,5,0.0
175,19,1,4,3,0,4,21,9.64
176,19,1,2,2,0,2,40,2.16
177,19,1,2,2,0,2,5,2.16
178,19,1,2,2,0,2,5,2.16
179,19,1,2,2,0,2,5,2.16
180,19,1,2,2,0,2,15,14.84
181,19,1,2,2,0,2,15,14.31
182,19,1,2,1,1,1,60,40.88
183,19,1,4,2,0,2,18,8.71
184,19,1,4,2,0,2,17,6.61
185,19,1,4,2,0,2,3,0.0
186,19,1,4,2,0,2,40,0.0
187,19,1,4,2,0,2,6,2.16
188,19,1,4,2,0,2,2,0.36
189,19,1,4,2,0,2,20,15.02
190,19,1,4,2,0,2,6,3.0
191,19,1,4,2,0,2,9,3.02
192,19,1,4,2,0,2,22,15.61
193,19,1,4,2,0,2,1,0.36
194,19,1,4,2,0,2,2,0.36
195,19,1,4,2,0,2,10,2.16
196,19,1,4,2,0,4,4,2.08
197,19,1,4,2,0,4,3,2.37
198,19,1,2,2,0,2,15,2.47
199,19,2,2,2,0,2,9,0.0
200,19,2,2,2,0,2,3,0.0
201,19,2,2,2,0,2,5,0.0
202,19,2,2,2,0,2,15,0.0
203,19,1,2,2,0,2,9,2.54
204,19,1,4,2,0,2,15,3.47
205,19,1,4,2,0,2,15,3.47
206,19,1,2,3,0,4,15,4.2
207,19,1,2,3,0,4,16,4.34
208,19,1,2,3,0,4,17,4.47
209,19,1,2,3,0,4,15,4.47
210,19,1,2,3,0,4,15,4.47
211,19,1,2,3,0,4,18,4.47
212,19,1,2,2,0,1,15,3.43
213,19,1,2,2,0,1,15,2.64
214,19,1,2,2,0,1,10,1.3
215,19,1,2,1,0,3,37,21.25
216,19,1,2,1,0,3,27,20.63
217,19,1,2,1,0,3,29,20.86
218,19,1,2,1,0,3,58,2.48
219,19,1,2,1,0,3,33,20.99
220,6,1,4,3,1,1,109,0.0
221,19,1,4,2,0,2,25,7.82
222,19,1,4,2,0,2,25,7.83
223,19,1,4,2,0,2,35,27.97
224,19,1,4,2,0,2,52,28.1
225,19,1,3,1,0,1,11,6.91
226,19,1,3,1,0,1,12,9.96
227,19,1,3,1,0,1,6,1.26
228,19,1,3,1,0,1,12,11.97
229,19,1,3,1,0,1,11,7.36
230,19,1,3,1,0,1,4,0.87
231,19,1,2,2,0,2,10,4.57
232,19,1,2,2,0,2,10,4.68
233,19,1,4,2,0,2,15,0.0
234,19,1,4,2,0,2,41,26.25
235,19,1,4,2,0,2,16,0.0
236,19,1,4,2,0,2,10,0.0
237,19,1,4,2,0,2,8,9.99
238,19,1,4,2,0,2,12,9.65
239,19,1,4,2,0,2,4,1.41
240,19,1,4,2,0,2,8,0.0
241,19,1,4,2,0,2,20,0.0
242,19,1,4,2,0,2,30,0.0
243,19,2,4,3,0,5,7,2.63
244,19,1,4,3,0,5,13,2.15
245,19,1,4,3,0,5,3,1.12
246,19,1,4,3,0,5,5,1.12
247,19,1,4,3,0,5,15,2.15
248,19,2,4,3,0,5,18,2.11
249,6,2,4,3,1,5,68,22.97
250,17,2,4,3,0,5,20,2.2
251,17,2,4,3,0,5,21,2.29
252,19,2,4,3,0,5,20,2.2
253,19,2,4,3,0,5,21,2.29
254,19,1,9,3,0,2,31,0.0
255,19,1,9,3,0,2,47,0.0
256,19,1,9,3,0,2,7,2.49
257,19,2,9,3,1,2,39,43.53
258,19,1,9,3,0,2,6,2.49
259,19,1,3,2,0,2,26,10.28
260,19,1,3,2,0,2,20,9.39
261,19,1,3,2,0,2,27,3.52
262,19,1,2,2,0,3,50,24.52
263,19,1,2,2,0,3,30,22.5
264,19,1,2,2,0,3,50,21.91
265,19,1,2,2,0,3,50,20.44
266,19,1,2,2,0,3,40,11.88
267,19,1,2,2,0,3,50,11.88
268,19,1,4,3,1,3,73,69.2
269,19,1,4,3,1,2,37,11.96
270,19,1,3,2,0,2,8,2.86
271,19,1,3,2,0,2,4,1.89
272,19,1,3,2,0,2,5,3.4
273,19,1,3,2,0,2,6,3.4
274,19,1,3,2,0,2,3,3.4
275,19,1,9,3,0,8,29,19.95
276,19,1,9,3,0,8,44,21.95
277,19,1,9,3,0,8,46,21.95
278,19,1,9,3,0,8,34,19.95
279,19,1,4,2,1,4,60,10.22
280,6,1,4,2,1,4,80,0.0
281,19,1,3,3,0,4,10,1.54
282,19,1,3,3,0,4,15,1.54
283,6,1,9,2,1,2,101,30.69
284,19,1,2,1,0,1,25,11.71
285,19,1,2,1,0,1,45,14.83
286,6,1,4,3,1,2,88,41.53
287,19,1,4,3,0,2,5,4.12
288,19,1,9,3,0,3,18,14.23
289,19,1,9,3,0,3,35,37.6
290,19,1,9,3,0,3,35,14.06
291,19,1,9,3,0,3,30,12.07
292,19,1,9,3,0,3,30,12.05
293,19,1,2,2,1,5,55,39.99
294,6,1,2,0,1,1,85,19.35
295,19,1,3,2,1,3,30,12.14
296,19,2,3,2,0,3,5,1.21
297,19,1,3,2,0,3,5,1.21
298,6,1,4,3,1,2,75,31.39
299,19,1,4,3,0,2,7,1.82
300,19,2,4,2,0,4,31,17.31
301,19,2,4,2,0,4,36,17.85
302,19,1,4,2,0,4,10,3.09
303,19,1,4,2,0,4,10,3.09
304,23,1,3,3,0,3,7,0.4
305,23,1,3,3,0,3,5,0.4
306,19,1,4,2,0,2,60,30.58
307,19,1,4,2,0,2,60,31.05
308,19,1,4,2,1,2,40,25.67
309,19,1,2,2,1,2,10,0.26
310,19,1,4,2,0,3,4,3.19
311,19,1,4,2,0,3,5,2.82
312,19,1,4,2,0,3,5,3.19
313,19,1,4,2,0,3,5,2.82
314,19,1,4,2,0,3,15,11.43
315,19,1,4,2,0,3,18,13.31
316,19,1,4,2,0,2,38,20.75
317,19,1,4,2,0,2,7,1.72
318,19,1,4,2,0,2,45,21.54
319,19,1,4,2,0,2,18,15.95
320,19,1,4,2,0,2,18,15.58
321,19,1,2,1,0,1,5,0.43
322,19,1,2,1,0,1,6,0.43
323,19,1,2,3,0,3,43,36.18
324,19,1,2,3,0,3,5,1.22
325,19,1,2,3,0,3,15,1.22
326,19,1,2,3,0,3,125,35.54
327,19,1,4,3,0,4,75,53.08
328,19,1,4,3,0,4,75,53.02
329,19,1,4,3,0,4,15,1.35
330,19,1,4,3,0,4,14,1.35
331,19,1,4,2,0,4,6,2.17
332,19,1,4,2,0,4,27,19.99
333,19,1,4,2,0,4,16,2.85
334,19,1,4,2,0,4,2,0.86
335,19,1,4,2,0,4,45,26.95
336,19,1,4,2,0,4,17,0.75
