,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
23519,23519,31839830109,3183983,1,9,1,2,0,3,9,0,1,0,1.0,9.0,1,11,4.68,13.52,11580,11428,11580,1,2,1,19,11,,1,1,1,1,1,4,4,1,2,3.0,4.0,4,2
23682,23682,31848050102,3184805,1,2,1,3,0,3,9,0,1,0,1.0,9.0,1,16,15.77,34.67,11743,11576,11743,0,2,1,19,11,,1,1,1,1,1,5,4,1,2,5.0,6.0,2,2
23683,23683,31848050103,3184805,1,3,0,3,0,9,14,1,1,0,2.2,9.0,2,91,17.39,37.71,11576,11557,11743,0,2,1,17,10,,1,1,1,1,1,1,1,2,5,5.0,6.0,2,2
23684,23684,31848050104,3184805,1,4,0,3,0,14,14,1,1,0,2.2,9.0,2,12,2.49,10.04,11557,11580,11743,0,2,1,17,10,,1,1,1,1,1,1,1,2,2,2.0,3.0,2,2
23685,23685,31848050105,3184805,1,5,0,3,0,14,14,1,1,0,2.2,9.0,2,93,18.64,37.58,11580,11545,11743,0,2,1,17,10,,1,1,1,1,1,1,1,2,5,5.0,6.0,2,2
23686,23686,31848050106,3184805,1,6,0,3,0,14,9,1,1,0,2.2,9.0,2,52,3.79,8.63,11545,11576,11743,0,2,1,17,10,,1,1,1,1,1,3,3,2,4,3.0,4.0,2,2
23687,23687,31848050107,3184805,1,7,0,3,1,9,3,1,0,0,1.0,9.0,1,22,19.11,35.73,11576,11743,11743,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,5.0,6.0,2,2
23799,23799,31852490302,3185249,3,2,1,3,0,3,14,0,1,0,1.0,9.0,1,30,10.09,20.38,11801,11530,11801,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,1,1
23800,23800,31852490303,3185249,3,3,0,3,0,14,25,1,9,0,1.0,9.0,1,30,5.01,14.28,11530,11756,11801,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,3.0,4.0,1,1
23801,23801,31852490304,3185249,3,4,0,3,0,25,17,9,5,0,1.0,9.0,1,30,6.96,15.31,11756,11803,11801,0,2,1,19,11,,1,1,1,1,2,3,3,1,3,3.0,4.0,1,1
23802,23802,31852490305,3185249,3,5,0,3,1,17,3,5,0,0,1.0,9.0,1,15,0.83,2.23,11803,11801,11801,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,1.0,1.0,1,1
23912,23912,31855510202,3185551,2,2,1,2,0,3,9,0,1,0,1.0,9.0,1,11,5.61,13.43,11727,11776,11727,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,2.0,3.0,2,2
23913,23913,31855510203,3185551,2,3,0,2,0,9,96,1,11,0,1.0,9.0,1,376,0.94,0.0,11776,11776,11727,0,2,1,19,11,,1,1,1,1,1,1,1,1,5,1.0,1.0,2,2
23914,23914,31855510204,3185551,2,4,0,2,1,96,3,11,0,0,1.0,9.0,1,15,5.61,13.48,11776,11727,11727,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,2.0,3.0,2,2
23915,23915,31855630102,3185563,1,2,1,3,0,3,9,0,1,10,1.0,9.0,1,26,8.15,21.4,11776,11780,11776,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,4,3
23916,23916,31855630103,3185563,1,3,0,3,0,9,16,1,5,17,1.0,9.0,1,18,6.29,16.95,11780,11720,11776,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,3.0,4.0,4,3
23917,23917,31855630104,3185563,1,4,0,3,1,16,3,5,0,0,1.0,9.0,1,13,3.67,9.22,11720,11776,11776,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,2.0,3.0,4,3
23934,23934,31856330102,3185633,1,2,1,4,0,3,9,0,1,0,1.0,9.0,1,45,11.81,22.79,11575,11434,11510,1,2,1,19,11,,1,1,1,1,1,1,1,1,4,4.0,5.0,3,2
23935,23935,31856330103,3185633,1,3,0,4,1,9,3,1,0,0,1.0,9.0,1,55,11.67,22.82,11434,11575,11510,0,1,1,19,11,,1,1,1,1,1,3,3,1,4,4.0,5.0,3,2
23942,23942,31856470102,3185647,1,2,1,1,0,3,19,0,6,0,1.0,9.0,1,3,0.38,0.0,11803,11803,11803,0,2,1,19,11,,1,1,1,1,2,1,1,1,1,1.0,2.0,2,1
23943,23943,31856470103,3185647,1,3,0,1,0,19,14,6,1,0,1.0,9.0,1,20,7.95,15.14,11803,11746,11803,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,1
23944,23944,31856470104,3185647,1,4,0,1,0,14,9,1,1,0,1.0,9.0,1,4,2.28,5.94,11746,11743,11803,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,2.0,3.0,2,1
23945,23945,31856470105,3185647,1,5,0,1,1,9,3,1,0,0,1.0,9.0,1,20,7.35,18.81,11743,11803,11803,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,2,1
24031,24031,31859180202,3185918,2,2,1,2,0,3,6,0,4,0,1.0,9.0,1,8,2.91,6.89,11756,11756,11756,0,2,1,19,11,,1,1,1,1,2,2,2,1,1,1.0,2.0,9,3
24032,24032,31859180203,3185918,2,3,0,2,0,6,21,4,7,0,2.1,9.0,2,5,1.6,4.16,11756,11801,11756,0,2,1,19,11,,1,1,1,1,2,2,2,2,1,2.0,3.0,9,3
24033,24033,31859180204,3185918,2,4,0,2,0,21,5,7,4,0,2.1,9.0,2,15,2.91,6.89,11801,11756,11756,0,2,1,19,11,,1,1,1,1,2,2,2,2,2,2.0,3.0,9,3
24034,24034,31859180205,3185918,2,5,0,2,0,5,9,4,1,0,1.0,9.0,1,29,5.75,15.4,11756,11590,11756,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,3.0,4.0,9,3
24035,24035,31859180206,3185918,2,6,0,2,1,9,3,1,0,0,1.0,9.0,1,30,6.55,17.53,11590,11756,11756,0,2,1,19,11,,1,1,1,1,1,4,4,1,3,3.0,4.0,9,3
24045,24045,31861290102,3186129,1,2,1,4,0,3,9,0,1,0,2.2,9.0,2,10,2.42,8.95,11590,11801,11590,0,2,1,17,10,,1,1,1,1,1,1,1,2,2,2.0,3.0,2,3
24046,24046,31861290103,3186129,1,3,0,4,0,9,10,1,1,14,1.0,9.0,1,18,12.55,22.82,11801,11758,11590,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,4.0,5.0,2,3
24047,24047,31861290104,3186129,1,4,0,4,0,10,9,1,1,0,1.0,9.0,1,30,12.06,21.58,11758,11801,11590,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,4.0,5.0,2,3
24048,24048,31861290105,3186129,1,5,0,4,0,9,10,1,1,14,2.2,9.0,2,90,28.42,59.19,11801,11225,11590,1,2,1,17,10,,1,1,1,1,1,2,2,2,5,6.0,6.0,2,3
24049,24049,31861290106,3186129,1,6,0,4,0,10,9,1,1,0,2.2,9.0,2,95,27.25,59.38,11225,11801,11590,0,1,1,17,10,,1,1,1,1,1,2,2,2,5,6.0,6.0,2,3
24050,24050,31861290107,3186129,1,7,0,4,1,9,3,1,0,0,2.2,9.0,2,5,2.42,8.97,11801,11590,11590,0,2,1,17,10,,1,1,1,1,1,3,3,2,1,2.0,3.0,2,3
24051,24051,31861290202,3186129,2,2,1,4,0,3,9,0,1,0,2.1,9.0,2,10,2.42,8.95,11590,11801,11590,0,2,1,19,11,,1,1,1,1,1,1,1,2,2,2.0,3.0,2,3
24052,24052,31861290203,3186129,2,3,0,4,0,9,10,1,1,14,2.1,9.0,2,90,28.42,59.19,11801,11225,11590,1,2,1,19,11,,1,1,1,1,1,2,2,2,5,6.0,6.0,2,3
24053,24053,31861290204,3186129,2,4,0,4,0,10,9,1,1,0,2.1,9.0,2,95,27.25,59.38,11225,11801,11590,0,1,1,19,11,,1,1,1,1,1,2,2,2,5,6.0,6.0,2,3
24054,24054,31861290205,3186129,2,5,0,4,1,9,3,1,0,0,2.1,9.0,2,5,2.42,8.97,11801,11590,11590,0,2,1,19,11,,1,1,1,1,1,3,3,2,1,2.0,3.0,2,3
24122,24122,31864250102,3186425,1,2,1,4,0,3,9,0,1,0,1.0,9.0,1,7,2.01,5.35,11740,11743,11740,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,2.0,3.0,4,2
24123,24123,31864250103,3186425,1,3,0,4,1,9,3,1,0,0,1.0,9.0,1,10,2.01,5.36,11743,11740,11740,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,2
24131,24131,31864250402,3186425,4,2,1,4,0,3,5,0,4,0,2.1,9.0,2,5,2.01,5.35,11740,11740,11740,0,2,1,19,11,,1,1,1,1,2,1,1,2,1,2.0,3.0,4,2
24132,24132,31864250403,3186425,4,3,0,4,0,5,9,4,1,0,1.0,9.0,1,54,25.94,46.19,11740,11030,11740,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,5.0,6.0,4,2
24133,24133,31864250404,3186425,4,4,0,4,1,9,3,1,0,0,1.0,9.0,1,60,22.17,44.33,11030,11740,11740,0,2,1,19,11,,1,1,1,1,1,3,3,1,4,5.0,6.0,4,2
24145,24145,31865270102,3186527,1,2,1,4,0,3,9,0,1,10,1.0,9.0,1,17,0.0,0.0,11727,11776,11727,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,2
24146,24146,31865270103,3186527,1,3,0,4,0,9,8,1,6,0,1.0,9.0,1,5,0.77,0.0,11776,11776,11727,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,1.0,2.0,4,2
24147,24147,31865270104,3186527,1,4,0,4,1,8,3,6,0,0,1.0,9.0,1,18,0.0,0.0,11776,11727,11727,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,3.0,4.0,4,2
24388,24388,31877850202,3187785,2,2,1,3,0,3,9,0,1,0,7.1,1.1,1,120,0.0,0.0,11733,10022,11733,1,2,1,6,3,2.0,2,2,2,1,1,1,1,1,5,6.0,6.0,4,2
24389,24389,31877850207,3187785,2,7,0,3,1,9,3,1,0,0,7.1,1.1,1,125,0.0,0.0,10022,11733,11733,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,4,2
24396,24396,31878060102,3187806,1,2,1,4,0,3,5,0,4,0,2.1,9.0,2,30,5.69,17.4,11563,11096,11563,0,2,1,19,11,,1,1,1,1,2,1,1,2,3,3.0,4.0,4,2
24397,24397,31878060103,3187806,1,3,0,4,0,5,9,4,1,0,1.0,9.0,1,5,2.1,7.47,11096,11691,11563,1,2,1,19,11,,1,1,1,1,1,1,1,1,1,2.0,3.0,4,2
24398,24398,31878060104,3187806,1,4,0,4,0,9,6,1,4,0,1.0,9.0,1,10,2.11,7.68,11691,11096,11563,0,1,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,2
24399,24399,31878060105,3187806,1,5,0,4,1,6,3,4,0,0,2.1,9.0,2,35,5.82,17.61,11096,11563,11563,0,2,1,19,11,,1,1,1,1,2,2,2,2,3,3.0,4.0,4,2
24402,24402,31878060202,3187806,2,2,1,4,0,3,5,0,4,0,2.1,9.0,2,10,2.23,9.38,11563,11518,11563,0,2,1,19,11,,1,1,1,1,2,1,1,2,2,2.0,3.0,4,2
24403,24403,31878060203,3187806,2,3,0,4,0,5,9,4,1,0,1.0,9.0,1,25,8.81,28.6,11518,11530,11563,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,4,2
24404,24404,31878060204,3187806,2,4,0,4,1,9,3,1,0,0,1.0,9.0,1,30,6.47,21.7,11530,11563,11563,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,4,2
24527,24527,31884700202,3188470,2,2,1,2,0,3,9,0,1,0,7.1,1.1,1,80,0.0,0.0,11710,10036,11710,1,2,1,6,3,2.0,2,2,2,1,1,5,4,1,4,6.0,6.0,9,2
24528,24528,31884700205,3188470,2,5,0,2,1,9,3,1,0,0,7.1,1.1,1,90,0.0,0.0,10036,11710,11710,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,9,2
24571,24571,31887790102,3188779,1,2,1,1,0,3,14,0,1,0,1.0,9.0,1,20,6.27,14.79,11776,11755,11776,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,3.0,4.0,2,1
24572,24572,31887790103,3188779,1,3,0,1,0,14,9,1,1,0,1.0,9.0,1,5,0.8,0.0,11755,11755,11776,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,1.0,1.0,2,1
24573,24573,31887790104,3188779,1,4,0,1,1,9,3,1,0,0,1.0,9.0,1,30,6.24,14.53,11755,11776,11776,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,3.0,4.0,2,1
24596,24596,31889510102,3188951,1,2,1,3,0,3,9,0,1,0,1.0,9.0,1,69,33.29,54.01,11706,11096,11718,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,4,2
24597,24597,31889510103,3188951,1,3,0,3,0,9,6,1,4,0,1.0,9.0,1,55,32.99,54.65,11096,11706,11718,0,2,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,4,2
24598,24598,31889510104,3188951,1,4,0,3,1,6,3,4,0,0,2.1,9.0,2,9,1.4,0.0,11706,11706,11718,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,1.0,4,2
24599,24599,31889510202,3188951,2,2,1,3,0,3,5,0,4,0,2.1,9.0,2,2,1.4,0.0,11706,11706,11718,0,2,1,19,11,,1,1,1,1,2,1,1,2,1,1.0,1.0,4,2
24600,24600,31889510203,3188951,2,3,0,3,0,5,9,4,1,0,1.0,9.0,1,40,39.58,59.14,11706,11430,11718,1,2,1,19,11,,1,1,1,1,1,1,1,1,3,6.0,6.0,4,2
24601,24601,31889510204,3188951,2,4,0,3,1,9,3,1,0,0,1.0,9.0,1,57,36.12,60.49,11430,11706,11718,0,1,1,19,11,,1,1,1,1,1,3,3,1,4,6.0,6.0,4,2
24681,24681,31894040204,3189404,2,4,1,2,0,3,17,0,5,0,1.0,9.0,1,7,1.11,3.0,11757,11757,11757,0,2,1,19,11,,1,1,1,1,2,1,1,1,1,2.0,3.0,2,2
24682,24682,31894040205,3189404,2,5,0,2,0,17,9,5,1,0,1.0,9.0,1,24,0.0,0.0,11757,11735,11757,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,2
24683,24683,31894040206,3189404,2,6,0,2,1,9,3,1,0,0,1.0,9.0,1,23,0.0,0.0,11735,11757,11757,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,4.0,5.0,2,2
24801,24801,31899860102,3189986,1,2,1,1,0,3,22,0,6,0,1.0,9.0,1,30,8.09,14.9,11704,11762,11704,0,2,1,19,11,,1,1,1,1,2,1,1,1,3,4.0,5.0,2,1
24802,24802,31899860103,3189986,1,3,0,1,0,22,9,6,1,0,1.0,9.0,1,23,13.38,20.94,11762,11706,11704,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,5.0,6.0,2,1
24803,24803,31899860104,3189986,1,4,0,1,0,9,20,1,6,0,1.0,9.0,1,24,0.0,0.0,11706,11747,11704,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,2,1
24804,24804,31899860105,3189986,1,5,0,1,0,20,27,6,8,0,1.0,9.0,1,19,0.0,0.0,11747,11746,11704,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,3.0,4.0,2,1
24805,24805,31899860106,3189986,1,6,0,1,1,27,3,8,0,0,1.0,9.0,1,35,14.47,21.31,11746,11704,11704,0,2,1,19,11,,1,1,1,1,2,4,4,1,3,4.0,5.0,2,1
25127,25127,31915850102,3191585,1,2,1,1,0,3,9,0,1,0,2.2,9.0,2,20,2.64,8.73,11520,11570,11520,0,2,1,17,10,,1,1,1,1,1,1,1,2,3,2.0,3.0,9,0
25128,25128,31915850103,3191585,1,3,0,1,1,9,3,1,0,0,2.2,9.0,2,25,2.55,8.79,11570,11520,11520,0,2,1,17,10,,1,1,1,1,1,2,2,2,3,2.0,3.0,9,0
25164,25164,31916930102,3191693,1,2,1,1,0,3,9,0,1,0,2.1,9.0,2,30,22.84,41.54,11718,11719,11718,0,2,1,19,11,,1,1,1,1,1,1,1,2,3,5.0,6.0,2,1
25165,25165,31916930103,3191693,1,3,0,1,1,9,3,1,0,0,2.1,9.0,2,30,23.14,42.95,11719,11718,11718,0,2,1,19,11,,1,1,1,1,1,2,2,2,3,5.0,6.0,2,1
25166,25166,31917060102,3191706,1,2,1,5,0,3,9,0,1,0,7.2,1.1,2,115,44.24,81.96,11717,10016,11717,1,2,1,6,3,3.0,2,2,2,1,1,1,1,2,5,6.0,6.0,3,1
25167,25167,31917060106,3191706,1,6,0,5,1,9,3,1,0,0,7.2,1.1,1,110,45.05,78.07,10016,11717,11717,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,3,1
25170,25170,31917060204,3191706,2,4,1,5,0,3,9,0,1,0,1.0,9.0,1,20,4.35,12.16,11717,11788,11717,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,3.0,4.0,3,1
25171,25171,31917060205,3191706,2,5,0,5,0,9,6,1,4,0,1.0,9.0,1,19,3.38,9.74,11788,11717,11717,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,2.0,3.0,3,1
25172,25172,31917060206,3191706,2,6,0,5,1,6,3,4,0,0,2.1,9.0,2,15,3.03,7.91,11717,11717,11717,0,2,1,19,11,,1,1,1,1,2,3,3,2,2,2.0,3.0,3,1
25183,25183,31918970102,3191897,1,2,1,1,0,1,14,0,1,0,1.0,9.0,1,15,3.91,13.12,11791,11803,11791,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,9,2
25184,25184,31918970103,3191897,1,3,0,1,0,14,14,1,1,0,1.0,9.0,1,20,5.07,11.79,11803,11747,11791,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,2.0,3.0,9,2
25185,25185,31918970104,3191897,1,4,0,1,0,14,21,1,7,0,1.0,9.0,1,5,1.41,0.0,11747,11747,11791,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,9,2
25186,25186,31918970105,3191897,1,5,0,1,1,21,1,7,0,3,1.0,9.0,1,20,7.36,16.97,11747,11791,11791,0,2,1,19,11,,1,1,1,1,2,2,2,1,3,3.0,4.0,9,2
25284,25284,31923000102,3192300,1,2,1,2,0,3,14,0,1,0,1.0,9.0,1,15,3.76,9.61,11756,11756,11756,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,2.0,3.0,4,3
25285,25285,31923000103,3192300,1,3,0,2,0,14,14,1,1,0,1.0,9.0,1,20,3.9,9.41,11756,11554,11756,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,2.0,3.0,4,3
25286,25286,31923000104,3192300,1,4,0,2,0,14,14,1,1,0,1.0,9.0,1,20,4.49,10.12,11554,11783,11756,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,2.0,3.0,4,3
25287,25287,31923000105,3192300,1,5,0,2,0,14,14,1,1,0,1.0,9.0,1,20,4.56,11.19,11783,11756,11756,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,3.0,4.0,4,3
25288,25288,31923000106,3192300,1,6,0,2,0,14,27,1,8,0,1.0,9.0,1,15,2.4,6.73,11756,11554,11756,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,3
25289,25289,31923000107,3192300,1,7,0,2,0,27,16,8,5,0,1.0,9.0,1,15,2.5,6.02,11554,11793,11756,0,2,1,19,11,,1,1,1,1,2,2,2,1,2,2.0,3.0,4,3
25290,25290,31923000108,3192300,1,8,0,2,0,16,19,5,6,0,1.0,9.0,1,15,2.51,6.15,11793,11756,11756,0,2,1,19,11,,1,1,1,1,2,2,2,1,2,2.0,3.0,4,3
25291,25291,31923000109,3192300,1,9,0,2,1,19,3,6,0,0,1.0,9.0,1,15,1.69,4.29,11756,11756,11756,0,2,1,19,11,,1,1,1,1,2,2,2,1,2,2.0,3.0,4,3
25362,25362,31926990102,3192699,1,2,1,1,0,3,9,0,1,0,1.0,9.0,1,70,28.71,48.75,11701,11366,11701,1,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,3,1
25363,25363,31926990103,3192699,1,3,0,1,1,9,3,1,0,0,1.0,9.0,1,75,26.01,50.02,11366,11701,11701,0,1,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,3,1
25441,25441,31929450102,3192945,1,2,1,3,0,3,5,0,4,0,2.1,9.0,2,14,2.79,9.71,11530,11501,11530,0,2,1,19,11,,1,1,1,1,2,1,1,2,2,2.0,3.0,4,3
25442,25442,31929450103,3192945,1,3,0,3,0,5,16,4,5,0,1.0,9.0,1,11,3.68,12.99,11501,11530,11530,0,2,1,19,11,,1,1,1,1,2,1,1,1,2,2.0,3.0,4,3
25443,25443,31929450104,3192945,1,4,0,3,0,16,19,5,6,0,1.0,9.0,1,3,1.14,4.66,11530,11040,11530,0,2,1,19,11,,1,1,1,1,2,1,1,1,1,1.0,1.0,4,3
25444,25444,31929450105,3192945,1,5,0,3,0,19,9,6,1,0,1.0,9.0,1,50,3.95,13.99,11040,11364,11530,1,2,1,19,11,,1,1,1,1,1,1,1,1,4,3.0,4.0,4,3
25445,25445,31929450106,3192945,1,6,0,3,0,9,9,1,1,0,1.0,9.0,1,5,0.93,3.12,11364,11427,11530,1,1,1,19,11,,1,1,1,1,1,2,2,1,1,2.0,3.0,4,3
25446,25446,31929450107,3192945,1,7,0,3,0,9,9,1,1,0,1.0,9.0,1,5,1.26,4.35,11427,11423,11530,1,1,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,3
25447,25447,31929450108,3192945,1,8,0,3,0,9,9,1,1,0,1.0,9.0,1,5,1.07,3.39,11423,11429,11530,1,1,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,3
25448,25448,31929450109,3192945,1,9,0,3,0,9,9,1,1,0,1.0,9.0,1,10,4.31,10.09,11429,11361,11530,1,1,1,19,11,,1,1,1,1,1,2,2,1,2,3.0,4.0,4,3
25449,25449,31929450110,3192945,1,10,0,3,0,9,9,1,1,0,1.0,9.0,1,10,6.79,16.03,11361,11433,11530,1,1,1,19,11,,1,1,1,1,1,2,2,1,2,3.0,4.0,4,3
25450,25450,31929450111,3192945,1,11,0,3,0,9,9,1,1,0,1.0,9.0,1,10,7.05,21.7,11433,11040,11530,0,1,1,19,11,,1,1,1,1,1,2,2,1,2,4.0,5.0,4,3
25451,25451,31929450112,3192945,1,12,0,3,1,9,3,1,0,0,1.0,9.0,1,5,0.78,3.36,11040,11530,11530,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,2.0,3.0,4,3
25456,25456,31929450202,3192945,2,2,1,3,0,3,9,0,1,0,7.0,1.0,1,75,0.0,0.0,11530,10019,11530,1,2,1,6,3,4.0,2,2,2,1,1,1,1,1,4,5.0,6.0,4,3
25457,25457,31929450206,3192945,2,6,0,3,1,9,3,1,0,0,7.0,1.0,1,75,0.0,0.0,10019,11530,11530,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,4,5.0,6.0,4,3
25546,25546,31934080102,3193408,1,2,1,6,0,3,9,0,1,0,1.0,9.0,1,77,32.8,49.03,11789,11747,11789,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,3,2
25547,25547,31934080103,3193408,1,3,0,6,1,9,3,1,0,0,1.0,9.0,1,57,33.74,48.96,11747,11789,11789,0,2,1,19,11,,1,1,1,1,1,3,3,1,4,6.0,6.0,3,2
25637,25637,31937280202,3193728,2,2,1,3,0,3,9,0,1,0,7.1,1.1,1,119,39.96,87.24,11704,10007,11704,1,2,1,6,3,2.0,2,2,2,1,1,5,4,1,5,6.0,6.0,3,2
25638,25638,31937280207,3193728,2,7,0,3,1,9,3,1,0,0,7.1,1.1,1,141,40.21,86.67,10007,11704,11704,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,3,2
25641,25641,31937510102,3193751,1,2,1,3,0,3,9,0,1,0,7.1,1.1,1,110,28.89,62.18,11575,10009,11575,1,2,1,6,3,2.0,2,2,2,1,1,1,1,1,5,6.0,6.0,4,2
25642,25642,31937510107,3193751,1,7,0,3,0,9,16,1,5,0,7.1,1.1,1,100,32.31,59.34,10009,11520,11575,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,4,2
25643,25643,31937510111,3193751,1,11,0,3,1,16,3,5,0,0,1.0,9.0,1,15,2.37,7.85,11520,11575,11575,0,2,1,19,11,,1,1,1,1,2,3,3,1,2,2.0,3.0,4,2
25887,25887,31949190102,3194919,1,2,1,2,0,3,9,0,1,0,7.1,1.1,1,100,58.62,97.13,11772,10036,11715,1,2,1,6,3,2.0,2,2,2,1,1,1,1,1,5,6.0,6.0,4,2
25888,25888,31949190105,3194919,1,5,0,2,1,9,3,1,0,0,7.1,1.1,1,135,58.53,93.52,10036,11772,11715,0,1,1,6,3,4.0,2,2,2,1,1,3,3,1,5,6.0,6.0,4,2
25918,25918,31950390202,3195039,2,2,1,2,0,3,9,0,1,0,1.0,9.0,1,26,15.15,30.06,11793,11576,11793,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,5.0,6.0,3,2
25919,25919,31950390203,3195039,2,3,0,2,1,9,3,1,0,0,1.0,9.0,1,51,14.56,28.66,11576,11793,11793,0,2,1,19,11,,1,1,1,1,1,3,3,1,4,5.0,6.0,3,2
26133,26133,31963740102,3196374,1,2,1,2,0,3,5,0,4,0,2.1,9.0,2,4,1.32,4.5,11559,11691,11096,1,2,1,19,11,,1,1,1,1,2,1,1,2,1,1.0,2.0,3,1
26134,26134,31963740103,3196374,1,3,0,2,0,5,9,4,1,0,1.0,9.0,1,18,5.59,15.05,11691,0,11096,1,1,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,3,1
26135,26135,31963740104,3196374,1,4,0,2,1,9,3,1,0,0,1.0,9.0,1,28,6.31,18.02,0,11559,11096,0,1,1,19,11,,1,1,1,1,1,2,2,1,3,3.0,4.0,3,1
26465,26465,31992190102,3199219,1,2,1,4,0,3,9,0,1,10,1.0,9.0,1,60,32.26,48.06,11715,11554,11715,0,2,1,19,11,,1,1,1,1,1,2,2,1,4,6.0,6.0,4,3
26466,26466,31992190103,3199219,1,3,0,4,1,9,3,1,0,0,1.0,9.0,1,60,31.93,45.98,11554,11715,11715,0,2,1,19,11,,1,1,1,1,1,4,4,1,4,6.0,6.0,4,3
26554,26554,32009920102,3200992,1,2,1,5,0,3,9,0,1,10,2.2,9.0,3,7,1.63,5.54,11021,11021,11021,0,2,1,17,10,,1,1,1,1,1,1,1,3,1,1.0,2.0,4,1
26555,26555,32009920103,3200992,1,3,0,5,1,9,3,1,0,0,10.0,8.0,1,15,1.63,5.43,11021,11021,11021,0,2,1,5,2,,4,1,1,1,1,3,3,1,2,1.0,2.0,4,1
26573,26573,32014010102,3201401,1,2,1,1,0,3,9,0,1,0,1.0,9.0,1,24,10.65,21.89,11953,11792,11953,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,5.0,6.0,2,1
