,Unnamed: 0,Unnamed: 0.1,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
0,179,179,30007510104,3000751,1,4,1,3,0,9,0,1.0,1,60,45.19,11706,1,19,1,2,3
1,181,181,30007510202,3000751,2,2,1,3,0,9,10,1.0,1,20,16.39,11706,0,19,1,2,3
2,182,182,30007510203,3000751,2,3,0,3,1,3,0,1.0,1,20,18.59,11746,0,19,1,2,3
3,523,523,30021830102,3002183,1,2,1,2,0,9,0,2.1,2,70,42.97,11727,0,19,2,4,2
4,524,524,30021830103,3002183,1,3,0,2,0,97,0,1.0,1,52,9.85,11040,1,19,1,4,2
5,526,526,30021830202,3002183,2,2,1,2,0,9,0,6.2,2,173,59.8,11727,1,12,2,4,2
6,627,627,30027890202,3002789,2,2,1,2,0,9,0,7.0,1,135,0.0,11758,1,6,1,4,2
7,657,657,30030040102,3003004,1,2,1,4,0,9,0,2.2,2,17,2.85,11795,0,17,2,4,2
8,658,658,30030040104,3003004,1,4,0,4,0,21,0,7.0,1,56,29.36,11702,1,6,1,4,2
9,662,662,30030040204,3003004,2,4,1,4,0,9,0,1.0,1,5,0.96,11795,0,19,1,4,2
10,663,663,30030040205,3003004,2,5,0,4,1,3,0,1.0,1,5,0.95,11795,0,19,1,4,2
11,664,664,30030040206,3003004,2,6,1,4,0,9,0,1.0,1,5,0.96,11795,0,19,1,4,2
12,665,665,30030040207,3003004,2,7,0,4,1,3,0,1.0,1,6,0.95,11795,0,19,1,4,2
13,675,675,30030040307,3003004,3,7,1,4,0,9,0,1.0,1,12,1.44,11795,0,19,1,4,2
14,676,676,30030040308,3003004,3,8,0,4,0,10,25,9.0,1,17,4.38,11795,0,1,1,4,2
15,677,677,30030040309,3003004,3,9,0,4,1,3,0,9.0,1,23,3.84,11704,0,1,1,4,2
16,681,681,30030340102,3003034,1,2,1,1,0,9,0,7.1,1,75,26.83,11510,1,6,1,3,1
17,834,834,30034210102,3003421,1,2,1,3,0,9,0,1.0,1,20,12.01,11803,0,19,1,4,3
18,835,835,30034210103,3003421,1,3,0,3,1,3,0,1.0,1,20,11.96,11725,0,19,1,4,3
19,838,838,30034210205,3003421,2,5,1,3,0,9,0,1.0,1,22,6.21,11803,0,19,1,4,3
20,839,839,30034210206,3003421,2,6,0,3,1,3,0,1.0,1,34,6.21,11746,0,19,1,4,3
21,982,982,30039400102,3003940,1,2,1,2,0,9,0,1.0,1,35,13.76,11710,0,19,1,2,2
22,983,983,30039400103,3003940,1,3,0,2,1,3,0,1.0,1,32,13.88,11040,0,19,1,2,2
23,1163,1163,30048290202,3004829,2,2,1,2,0,9,0,1.0,1,30,0.0,11566,0,19,1,4,3
24,1164,1164,30048290203,3004829,2,3,0,2,1,3,0,1.0,1,30,0.0,11735,0,19,1,4,3
25,1174,1174,30048340111,3004834,1,11,1,2,0,14,0,1.0,1,30,13.5,11769,0,19,1,4,2
26,1175,1175,30048340112,3004834,1,12,0,2,1,3,0,1.0,1,36,14.76,11719,0,19,1,4,2
27,1176,1176,30048340202,3004834,2,2,1,2,0,9,0,2.2,2,43,30.79,11769,0,17,2,4,2
28,1177,1177,30048340203,3004834,2,3,0,2,1,3,0,2.2,2,50,30.49,11771,0,17,2,4,2
29,1222,1222,30049180302,3004918,3,2,1,3,0,9,0,1.0,1,50,38.22,11949,0,19,1,4,3
30,1223,1223,30049180303,3004918,3,3,0,3,0,23,0,1.0,1,30,16.89,11804,0,19,1,4,3
31,1224,1224,30049180304,3004918,3,4,0,3,1,3,0,1.0,1,45,22.06,11788,0,19,1,4,3
32,1231,1231,30049700202,3004970,2,2,1,3,0,9,10,1.0,1,18,7.18,11746,0,19,1,4,2
33,1232,1232,30049700203,3004970,2,3,0,3,1,3,0,1.0,1,16,7.18,11725,0,19,1,4,2
34,1405,1405,30055930204,3005593,2,4,1,4,0,5,0,2.1,2,4,4.29,11716,0,19,2,3,2
35,1406,1406,30055930205,3005593,2,5,0,4,0,9,0,1.0,1,30,21.28,11716,0,19,1,3,2
36,1407,1407,30055930206,3005593,2,6,0,4,1,3,0,1.0,1,41,20.14,11747,0,19,1,3,2
37,1432,1432,30057730102,3005773,1,2,1,3,0,9,0,7.1,1,79,27.3,11580,1,6,1,4,2
38,1434,1434,30057730302,3005773,3,2,1,3,0,9,0,3.0,1,45,4.92,11580,0,15,1,4,2
39,1435,1435,30057730305,3005773,3,5,0,3,1,3,0,2.2,2,25,4.86,11570,0,17,2,4,2
40,1511,1511,30062150102,3006215,1,2,1,3,0,5,0,2.1,2,17,3.88,11801,0,19,2,4,2
41,1512,1512,30062150103,3006215,1,3,0,3,0,9,10,1.0,1,25,9.41,11590,0,19,1,4,2
42,1513,1513,30062150104,3006215,1,4,0,3,1,3,0,1.0,1,37,13.74,11576,0,19,1,4,2
43,1516,1516,30062150202,3006215,2,2,1,3,0,9,10,1.0,1,45,31.28,11801,1,19,1,4,2
44,2040,2040,30085550102,3008555,1,2,1,1,0,14,0,10.0,2,10,1.2,11561,0,5,2,3,1
45,2041,2041,30085550103,3008555,1,3,0,1,0,14,0,7.0,1,59,25.94,11561,1,6,1,3,1
46,2045,2045,30085550107,3008555,1,7,0,1,0,14,0,7.0,1,82,48.52,11779,1,6,1,3,1
47,2049,2049,30085550111,3008555,1,11,0,1,1,3,0,3.0,1,23,1.2,11561,0,15,1,3,1
48,2356,2356,30100570102,3010057,1,2,1,4,0,9,10,1.0,1,35,15.86,11740,0,19,1,4,2
49,2357,2357,30100570103,3010057,1,3,0,4,1,3,0,1.0,1,45,15.38,11568,0,19,1,4,2
50,2358,2358,30100570202,3010057,2,2,1,4,0,19,0,1.0,1,13,4.44,11740,0,19,1,4,2
51,2359,2359,30100570203,3010057,2,3,0,4,0,16,0,1.0,1,9,0.66,11743,0,19,1,4,2
52,2360,2360,30100570204,3010057,2,4,0,4,0,9,10,1.0,1,3,0.66,11743,0,19,1,4,2
53,2361,2361,30100570205,3010057,2,5,0,4,1,3,0,1.0,1,14,4.44,11743,0,19,1,4,2
54,2403,2403,30101490102,3010149,1,2,1,3,0,9,0,1.0,1,45,11.28,11575,1,19,1,4,3
55,2507,2507,30106560102,3010656,1,2,1,1,0,14,0,1.0,1,12,11.6,11791,0,19,1,4,1
56,2508,2508,30106560103,3010656,1,3,0,1,0,18,0,1.0,1,14,6.5,11793,0,19,1,4,1
57,2509,2509,30106560104,3010656,1,4,0,1,0,20,0,1.0,1,57,14.82,11803,0,19,1,4,1
58,2510,2510,30106560105,3010656,1,5,0,1,0,18,0,1.0,1,8,3.38,11725,0,19,1,4,1
59,2511,2511,30106560106,3010656,1,6,0,1,0,18,0,1.0,1,18,0.0,11725,0,19,1,4,1
