,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
159,3,10,1.72,0,19,1,4,3
160,3,9,1.72,0,19,1,4,3
161,2,9,0.77,0,19,1,2,2
162,2,29,19.74,0,19,1,2,2
163,2,4,0.75,0,19,1,2,2
164,2,26,18.69,0,19,1,2,2
165,2,30,17.44,0,19,2,3,3
166,2,45,17.91,0,19,1,3,3
167,2,40,21.51,0,17,2,3,3
168,2,40,22.15,0,19,1,3,3
169,1,40,26.31,0,19,1,2,1
170,1,35,25.85,0,19,1,2,1
171,2,24,9.03,0,19,1,4,2
172,2,30,9.07,0,19,1,4,2
173,4,18,0.0,0,19,1,4,3
174,4,5,0.0,0,19,1,4,3
175,4,21,9.64,0,19,1,4,3
176,2,40,2.16,0,19,1,2,2
177,2,5,2.16,0,19,1,2,2
178,2,5,2.16,0,19,1,2,2
179,2,5,2.16,0,19,1,2,2
180,2,15,14.84,0,19,1,2,2
181,2,15,14.31,0,19,1,2,2
182,1,60,40.88,1,19,1,2,1
183,2,18,8.71,0,19,1,4,2
184,2,17,6.61,0,19,1,4,2
185,2,3,0.0,0,19,1,4,2
186,2,40,0.0,0,19,1,4,2
187,2,6,2.16,0,19,1,4,2
188,2,2,0.36,0,19,1,4,2
189,2,20,15.02,0,19,1,4,2
190,2,6,3.0,0,19,1,4,2
191,2,9,3.02,0,19,1,4,2
192,2,22,15.61,0,19,1,4,2
193,2,1,0.36,0,19,1,4,2
194,2,2,0.36,0,19,1,4,2
195,2,10,2.16,0,19,1,4,2
196,4,4,2.08,0,19,1,4,2
197,4,3,2.37,0,19,1,4,2
198,2,15,2.47,0,19,1,2,2
199,2,9,0.0,0,19,2,2,2
200,2,3,0.0,0,19,2,2,2
201,2,5,0.0,0,19,2,2,2
202,2,15,0.0,0,19,2,2,2
203,2,9,2.54,0,19,1,2,2
204,2,15,3.47,0,19,1,4,2
205,2,15,3.47,0,19,1,4,2
206,4,15,4.2,0,19,1,2,3
207,4,16,4.34,0,19,1,2,3
208,4,17,4.47,0,19,1,2,3
209,4,15,4.47,0,19,1,2,3
210,4,15,4.47,0,19,1,2,3
211,4,18,4.47,0,19,1,2,3
212,1,15,3.43,0,19,1,2,2
213,1,15,2.64,0,19,1,2,2
214,1,10,1.3,0,19,1,2,2
215,3,37,21.25,0,19,1,2,1
216,3,27,20.63,0,19,1,2,1
217,3,29,20.86,0,19,1,2,1
218,3,58,2.48,0,19,1,2,1
219,3,33,20.99,0,19,1,2,1
220,1,109,0.0,1,6,1,4,3
221,2,25,7.82,0,19,1,4,2
222,2,25,7.83,0,19,1,4,2
223,2,35,27.97,0,19,1,4,2
224,2,52,28.1,0,19,1,4,2
225,1,11,6.91,0,19,1,3,1
226,1,12,9.96,0,19,1,3,1
227,1,6,1.26,0,19,1,3,1
228,1,12,11.97,0,19,1,3,1
229,1,11,7.36,0,19,1,3,1
230,1,4,0.87,0,19,1,3,1
231,2,10,4.57,0,19,1,2,2
232,2,10,4.68,0,19,1,2,2
233,2,15,0.0,0,19,1,4,2
234,2,41,26.25,0,19,1,4,2
235,2,16,0.0,0,19,1,4,2
236,2,10,0.0,0,19,1,4,2
237,2,8,9.99,0,19,1,4,2
238,2,12,9.65,0,19,1,4,2
239,2,4,1.41,0,19,1,4,2
240,2,8,0.0,0,19,1,4,2
241,2,20,0.0,0,19,1,4,2
242,2,30,0.0,0,19,1,4,2
243,5,7,2.63,0,19,2,4,3
244,5,13,2.15,0,19,1,4,3
245,5,3,1.12,0,19,1,4,3
246,5,5,1.12,0,19,1,4,3
247,5,15,2.15,0,19,1,4,3
248,5,18,2.11,0,19,2,4,3
249,5,68,22.97,1,6,2,4,3
250,5,20,2.2,0,17,2,4,3
251,5,21,2.29,0,17,2,4,3
252,5,20,2.2,0,19,2,4,3
253,5,21,2.29,0,19,2,4,3
254,2,31,0.0,0,19,1,9,3
255,2,47,0.0,0,19,1,9,3
256,2,7,2.49,0,19,1,9,3
257,2,39,43.53,1,19,2,9,3
258,2,6,2.49,0,19,1,9,3
259,2,26,10.28,0,19,1,3,2
260,2,20,9.39,0,19,1,3,2
261,2,27,3.52,0,19,1,3,2
262,3,50,24.52,0,19,1,2,2
263,3,30,22.5,0,19,1,2,2
264,3,50,21.91,0,19,1,2,2
265,3,50,20.44,0,19,1,2,2
266,3,40,11.88,0,19,1,2,2
267,3,50,11.88,0,19,1,2,2
268,3,73,69.2,1,19,1,4,3
269,2,37,11.96,1,19,1,4,3
270,2,8,2.86,0,19,1,3,2
271,2,4,1.89,0,19,1,3,2
272,2,5,3.4,0,19,1,3,2
273,2,6,3.4,0,19,1,3,2
274,2,3,3.4,0,19,1,3,2
275,8,29,19.95,0,19,1,9,3
276,8,44,21.95,0,19,1,9,3
277,8,46,21.95,0,19,1,9,3
278,8,34,19.95,0,19,1,9,3
279,4,60,10.22,1,19,1,4,2
280,4,80,0.0,1,6,1,4,2
281,4,10,1.54,0,19,1,3,3
282,4,15,1.54,0,19,1,3,3
283,2,101,30.69,1,6,1,9,2
284,1,25,11.71,0,19,1,2,1
285,1,45,14.83,0,19,1,2,1
286,2,88,41.53,1,6,1,4,3
287,2,5,4.12,0,19,1,4,3
288,3,18,14.23,0,19,1,9,3
289,3,35,37.6,0,19,1,9,3
290,3,35,14.06,0,19,1,9,3
291,3,30,12.07,0,19,1,9,3
292,3,30,12.05,0,19,1,9,3
293,5,55,39.99,1,19,1,2,2
294,1,85,19.35,1,6,1,2,0
295,3,30,12.14,1,19,1,3,2
296,3,5,1.21,0,19,2,3,2
297,3,5,1.21,0,19,1,3,2
298,2,75,31.39,1,6,1,4,3
299,2,7,1.82,0,19,1,4,3
300,4,31,17.31,0,19,2,4,2
301,4,36,17.85,0,19,2,4,2
302,4,10,3.09,0,19,1,4,2
303,4,10,3.09,0,19,1,4,2
304,3,7,0.4,0,23,1,3,3
305,3,5,0.4,0,23,1,3,3
306,2,60,30.58,0,19,1,4,2
307,2,60,31.05,0,19,1,4,2
308,2,40,25.67,1,19,1,4,2
309,2,10,0.26,1,19,1,2,2
310,3,4,3.19,0,19,1,4,2
311,3,5,2.82,0,19,1,4,2
312,3,5,3.19,0,19,1,4,2
313,3,5,2.82,0,19,1,4,2
314,3,15,11.43,0,19,1,4,2
315,3,18,13.31,0,19,1,4,2
316,2,38,20.75,0,19,1,4,2
317,2,7,1.72,0,19,1,4,2
318,2,45,21.54,0,19,1,4,2
319,2,18,15.95,0,19,1,4,2
320,2,18,15.58,0,19,1,4,2
321,1,5,0.43,0,19,1,2,1
322,1,6,0.43,0,19,1,2,1
323,3,43,36.18,0,19,1,2,3
324,3,5,1.22,0,19,1,2,3
325,3,15,1.22,0,19,1,2,3
326,3,125,35.54,0,19,1,2,3
327,4,75,53.08,0,19,1,4,3
328,4,75,53.02,0,19,1,4,3
329,4,15,1.35,0,19,1,4,3
330,4,14,1.35,0,19,1,4,3
331,4,6,2.17,0,19,1,4,2
332,4,27,19.99,0,19,1,4,2
333,4,16,2.85,0,19,1,4,2
